관측일자,지점명,평균기온,최저기온,최대기온,평균습도,최저습도,최고습도,평균풍속,최대풍속,강수량
20190601,중구,,13,26,,,,,,0
20190602,중구,,13,28,,,,,,0
20190603,중구,,16,29,,,,,,0
20190604,중구,,18,28,,,,,,0
20190605,중구,,17,29,,,,,,1
20190606,중구,,18,30,,,,,,18
20190607,중구,,18,30,,,,,,40
20190608,중구,,17,29,,,,,,24
20190609,중구,,16,27,,,,,,28
20190610,중구,,16,27,,,,,,3
20190611,중구,,19,27,,,,,,7
20190612,중구,,19,26,,,,,,52
20190613,중구,,19,28,,,,,,2
20190614,중구,,23,29,,,,,,0
20190615,중구,,22,30,,,,,,1
20190616,중구,,19,29,,,,,,0
20190617,중구,,17,28,,,,,,0
20190618,중구,,18,28,,,,,,0
20190619,중구,,18,28,,,,,,6
20190620,중구,,21,29,,,,,,15
20190621,중구,,20,27,,,,,,2
20190622,중구,,18,26,,,,,,0
20190623,중구,,20,27,,,,,,0
20190624,중구,,20,28,,,,,,0
20190625,중구,,20,29,,,,,,0
20190626,중구,,21,29,,,,,,0
20190627,중구,,22,29,,,,,,0
20190628,중구,,21,29,,,,,,1
20190629,중구,,22,29,,,,,,0
20190630,중구,,23,30,,,,,,6
20190701,중구,,23,30,,,,,,36
20190702,중구,,20,27,,,,,,12
20190703,중구,,20,27,,,,,,9
20190704,중구,,20,28,,,,,,0
20190705,중구,,20,27,,,,,,0
20190706,중구,,21,27,,,,,,1
20190707,중구,,22,28,,,,,,21
20190708,중구,,22,28,,,,,,6
20190709,중구,,20,28,,,,,,8
20190710,중구,,21,29,,,,,,3
20190711,중구,,22,30,,,,,,0
20190712,중구,,23,29,,,,,,0
20190713,중구,,23,30,,,,,,0
20190714,중구,,23,30,,,,,,1
20190715,중구,,22,30,,,,,,3
20190716,중구,,22,31,,,,,,2
20190717,중구,,23,31,,,,,,0
20190718,중구,,24,31,,,,,,0
20190719,중구,,22,31,,,,,,0
20190720,중구,,21,30,,,,,,5
20190721,중구,,22,28,,,,,,8
20190722,중구,,23,28,,,,,,1
20190723,중구,,22,30,,,,,,3
20190724,중구,,24,30,,,,,,2
20190725,중구,,23,30,,,,,,13
20190726,중구,,22,28,,,,,,41
20190727,중구,,23,30,,,,,,0
20190728,중구,,23,31,,,,,,17
20190729,중구,,24,28,,,,,,59
20190730,중구,,23,29,,,,,,20
20190731,중구,,23,29,,,,,,15
20190801,중구,,24,31,,,,,,1
20190802,중구,,23,31,,,,,,4
20190803,중구,,24,31,,,,,,0
20190804,중구,,24,30,,,,,,48
20190805,중구,,25,29,,,,,,25
20190806,중구,,25,29,,,,,,29
20190807,중구,,25,30,,,,,,24
20190808,중구,,24,30,,,,,,11
20190809,중구,,24,31,,,,,,21
20190810,중구,,26,29,,,,,,26
20190811,중구,,22,29,,,,,,48
20190812,중구,,22,29,,,,,,9
20190813,중구,,23,30,,,,,,0
20190814,중구,,22,29,,,,,,21
20190815,중구,,22,28,,,,,,5
20190816,중구,,22,29,,,,,,0
20190817,중구,,22,29,,,,,,0
20190818,중구,,21,29,,,,,,0
20190819,중구,,21,30,,,,,,0
20190820,중구,,22,30,,,,,,0
20190821,중구,,22,30,,,,,,0
20190822,중구,,24,28,,,,,,0
20190823,중구,,22,30,,,,,,0
20190824,중구,,21,31,,,,,,0
20190825,중구,,20,28,,,,,,0
20190826,중구,,21,28,,,,,,0
20190827,중구,,20,28,,,,,,0
20190828,중구,,20,27,,,,,,0
20190829,중구,,21,27,,,,,,0